"date","focal_sex","focal_age","seq_num","x_coord","y_coord","comm","time","adult_m","adult_f","total","lat","long"
2005-01-06,"M",34,3,791898,9484050,"KK","06:45",10,13,25,-4.66292654154948,29.630947588778
2005-01-06,"M",34,4,791898,9484050,"KK","07:00",10,13,25,-4.66292654154948,29.630947588778
2005-01-06,"M",34,5,791918,9483951,"KK","07:15",8,12,22,-4.66382054048492,29.6311310567168
2005-01-06,"M",34,6,791918,9483951,"KK","07:30",10,2,13,-4.66382054048492,29.6311310567168
2005-01-06,"M",34,7,791918,9483951,"KK","07:45",1,1,2,-4.66382054048492,29.6311310567168
2005-01-06,"M",34,8,791964,9483829,"KK","08:00",1,2,3,-4.66492151437041,29.6315494779975
2005-01-06,"M",34,9,792017,9483593,"KK","08:15",1,1,2,-4.66705248065126,29.6320347895725
2005-01-06,"M",34,10,792023,9483494,"KK","08:30",3,0,3,-4.66794695116949,29.6320921664332
2005-01-06,"M",34,11,792023,9483494,"KK","08:45",3,1,5,-4.66794695116949,29.6320921664332
2005-01-06,"M",34,12,792035,9483333,"KK","09:00",3,1,5,-4.66940151907185,29.6322056752297
2005-01-06,"M",34,13,791915,9482984,"KK","09:15",3,0,3,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,14,791915,9482984,"KK","09:30",3,0,3,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,15,791915,9482984,"KK","09:45",3,1,4,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,16,791915,9482984,"KK","10:00",3,1,4,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,17,791915,9482984,"KK","10:15",3,1,4,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,18,791915,9482984,"KK","10:30",3,1,4,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,19,791915,9482984,"KK","10:45",3,1,4,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,20,791915,9482984,"KK","11:00",3,1,4,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,21,791915,9482984,"KK","11:15",3,1,4,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,22,791915,9482984,"KK","11:30",4,1,5,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,23,791915,9482984,"KK","11:45",3,1,4,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,24,791915,9482984,"KK","12:00",3,1,4,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,25,791915,9482984,"KK","12:15",1,0,1,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,26,791915,9482984,"KK","12:30",1,0,1,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,27,791915,9482984,"KK","12:45",1,0,1,-4.67255952841868,29.6311366106021
2005-01-06,"M",34,28,791931,9483012,"KK","13:00",1,0,1,-4.67230594805731,29.6312797775939
2005-01-06,"M",34,29,792030,9482998,"KK","13:15",1,0,1,-4.67242911767462,29.6321719366636
2005-01-06,"M",34,30,792215,9482921,"KK","13:30",1,0,1,-4.67311871066016,29.6338408178042
2005-01-06,"M",34,31,792231,9482968,"KK","13:45",1,0,1,-4.67269342553974,29.6339833421489
2005-01-06,"M",34,32,792279,9483033,"KK","14:00",6,9,17,-4.67210438912358,29.6344134802261
2005-01-06,"M",34,33,792346,9483016,"KK","14:15",6,10,18,-4.67225574998958,29.6350175174387
2005-01-06,"M",34,34,792394,9483019,"KK","14:30",6,10,18,-4.67222701245285,29.6354497478901
2005-01-06,"M",34,35,792394,9483019,"KK","14:45",6,10,18,-4.67222701245285,29.6354497478901
2005-01-06,"M",34,36,792429,9483059,"KK","15:00",6,10,18,-4.67186434339169,29.6357636387559
2005-01-06,"M",34,37,792449,9483112,"KK","15:15",6,10,18,-4.67138470067786,29.6359419868497
2005-01-06,"M",34,38,792340,9483114,"KK","15:30",6,11,19,-4.67137031919067,29.6349601673332
2005-01-06,"M",34,39,792340,9483114,"KK","15:45",6,11,19,-4.67137031919067,29.6349601673332
2005-01-06,"M",34,40,792340,9483114,"KK","16:00",6,11,19,-4.67137031919067,29.6349601673332
2005-01-06,"M",34,41,792193,9483118,"KK","16:15",6,11,19,-4.67133914866364,29.633636016995
2005-01-06,"M",34,42,791967,9483143,"KK","16:30",6,11,19,-4.67112086907027,29.6315996104117
2005-01-06,"M",34,43,791967,9483143,"KK","16:45",6,11,19,-4.67112086907027,29.6315996104117
2005-01-06,"M",34,44,791855,9483154,"KK","17:00",6,11,19,-4.67102524864225,29.6305904638391
2005-01-06,"M",34,45,791855,9483154,"KK","17:45",6,11,19,-4.67102524864225,29.6305904638391
